name	in_input_table_1	count_in_input_table_2	status
PK2_TAL_10to40_20230617_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_10to40_20230618_AM_01_20xcamera	TRUE	1	OK
PK2_TAL_10to40_20230618_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_10to40_20230619_AM_01	TRUE	1	OK
PK2_TAL_10to40_20230619_PM_01	TRUE	1	OK
PK2_TAL_10to40_20230620_AM_01	TRUE	1	OK
PK2_TAL_10to40_20230620_PM_01	TRUE	1	OK
PK2_TAL_10to40_20230621_AM_01	TRUE	1	OK
PK2_TAL_10to40_20230621_PM_01	TRUE	1	OK
PK2_TAL_10to40_20230622_AM_01	TRUE	1	OK
PK2_TAL_150to500_20230618_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_20to100_20230618_AM_01_20xcamera	TRUE	1	OK
PK2_TAL_20to100_20230620_PM_01	TRUE	1	OK
PK2_TAL_20to200_20230616_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_20to200_20230617_AM_01_20xcamera	TRUE	1	OK
PK2_TAL_20to200_20230617_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_20to200_20230618_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_20to200_20230619_AM_01	TRUE	1	OK
PK2_TAL_20to200_20230621_AM_01	TRUE	1	OK
PK2_TAL_20to200_20230626_AM_01	TRUE	1	OK
PK2_TAL_20to200_20230627_AM_01	TRUE	1	OK
PK2_TAL_20to200_20230627_AM_02_TARA	TRUE	1	OK
PK2_TAL_20to200_20230628_AM_01	TRUE	1	OK
PK2_TAL_20to200_20230628_AM_02_TARA	TRUE	1	OK
PK2_TAL_20to200_20230628_AM_03_TARA_conc	TRUE	1	OK
PK2_TAL_20to40_20230620_AM_01	TRUE	1	OK
PK2_TAL_20to40_20230621_AM_01	TRUE	1	OK
PK2_TAL_5to100_20230621_AM_01	TRUE	1	OK
PK2_TAL_5to20_20230616_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_5to20_20230617_AM_01_20xcamera	TRUE	1	OK
PK2_TAL_5to20_20230617_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_5to20_20230618_AM_01_20xcamera	TRUE	1	OK
PK2_TAL_5to20_20230618_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_5to20_20230619_PM_01	TRUE	1	OK
PK2_TAL_5to20_20230620_AM_01	TRUE	1	OK
PK2_TAL_5to20_20230620_PM_01	TRUE	1	OK
PK2_TAL_5to20_20230621_AM_01	TRUE	1	OK
PK2_TAL_5to20_20230622_AM_01	TRUE	1	OK
PK2_TAL_5to20_20230626_AM_01	TRUE	1	OK
PK2_TAL_5to20_20230627_AM_01	TRUE	1	OK
PK2_TAL_5to20_20230627_AM_02_TARA	TRUE	1	OK
PK2_TAL_5to20_20230628_AM_01	TRUE	1	OK
PK2_TAL_5to20_20230628_AM_02_TARA	TRUE	1	OK
PK2_TAL_5to20_20230628_AM_03_TARA_conc	TRUE	1	OK
PK2_TAL_5to40_20230617_AM_01_20xcamera	TRUE	1	OK
PK2_TAL_5to40_20230617_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_5to40_20230618_AM_01_20xcamera	TRUE	1	OK
PK2_TAL_5to40_20230618_PM_01	TRUE	1	OK
PK2_TAL_5to40_20230618_PM_01_20xcamera	TRUE	1	OK
PK2_TAL_5to40_20230619_AM_01	TRUE	1	OK
PK2_TAL_5to40_20230619_PM_01	TRUE	1	OK
PK2_TAL_5to40_20230620_AM_01	TRUE	1	OK
PK2_TAL_5to40_20230620_PM_01	TRUE	1	OK
PK2_TAL_5to40_20230621_AM_01	TRUE	1	OK
PK2_TAL_5to40_20230621_PM_01	TRUE	1	OK
PK2_TAL_5to40_20230622_AM_01	TRUE	1	OK
